"volup",0,16
"voldown",0,17
"chanup",20,32
"chandown",20,33
"play",20,53
"stop",20,54
"pause",20,24
"next",20,52
"prev",20,50
"rec",20,55
"mute",20,45
"menu",20,18
"exit",20,29
"power",20,12
"left",20,43
"right",20,45
"up",20,44
"down",20,46
"1",20,1
"2",20,2
"3",20,3
"4",20,4
"5",20,5
"6",20,6
"7",20,7
"8",20,8
"9",20,9
"0",20,0
